period,period_dot,class
0.006284311,1.9E-20,RADIO PULSAR
0.430366558,1.506E-15,RADIO PULSAR
0.445822307,5.9E-16,RADIO PULSAR
1.432704197,2.254E-15,RADIO PULSAR
0.602738078,4.047E-15,RADIO PULSAR
0.192687184,,RADIO PULSAR
0.510369403,1.65103E-15,RADIO PULSAR
,,RADIO PULSAR
1.478721356,6.1E-16,RADIO PULSAR
0.156399739,1.81845E-15,RADIO PULSAR
0.299625107,3.5E-17,RADIO PULSAR
0.355856263,6.647E-15,RADIO PULSAR
0.301310775,1.932E-15,RADIO PULSAR
0.327418522,1.0187E-15,RADIO PULSAR
0.460339492,1.6762E-14,RADIO PULSAR
3.059509602,3.45E-15,RADIO PULSAR
1.396404984,5.07333E-15,RADIO PULSAR
0.64435362,9.5596E-15,RADIO PULSAR
1.5088,,RADIO PULSAR
0.288354902,1.41078E-14,RADIO PULSAR
0.735091648,1.1E-16,RADIO PULSAR
0.563,,RADIO PULSAR
0.61233065,3.641E-15,RADIO PULSAR
0.003785124,,RADIO PULSAR
0.244838478,6.54E-17,RADIO PULSAR
0.454840333,9.26101E-16,RADIO PULSAR
0.331585599,4.8291E-15,RADIO PULSAR
